street_id,name,description,category,food_keywords,sido,sigungu,road_addr,jibun_addr,lat,lon,coord_source,length_m,length_source,shop_count,designated_year,org_name,org_tel,data_date
ST001,송정떡갈비거리,광주송정역 인근 떡갈비 전문점 밀집 거리,음식,떡갈비;송정떡갈비,광주,광산구,광주광역시 광산구 광산로29번길(송정동) 일원,,35.1396182,126.7943822,위치검증:A,0,없음,0,,광주관광/광산구청,,2026-06-18
ST002,무등산보리밥거리,무등산 옛길 인근 보리밥 전문점 밀집 거리,음식,보리밥;보리밥정식,광주,동구,광주광역시 동구 지산동 691-67 인근,,35.1492465,126.9447994,위치검증:A,0,없음,0,,광주관광/동구청,,2026-06-18
ST003,유동오리탕거리(오리요리의거리),광주 명물음식 오리탕 전문업소가 밀집된 대표거리,음식,오리탕;오리요리,광주,북구,광주광역시 북구 경양로87번길 8-5,,35.16126499,126.9056156,위치검증:A+,0,없음,12.0,2003.0,광주광역시 북구청,,2026-06-18
ST004,병영 돼지불고기거리,강진 병영면 돼지불고기 특화 음식거리,음식,돼지불고기;병영돼지불고기,전남,강진군,전라남도 강진군 병영면 삼인리 316-1 부근,,34.7138,126.8164,위치검증:A,0,없음,0,,전라남도,,2026-06-18
ST005,나로도삼치거리,나로도 일대 삼치 전문 음식거리,음식,삼치;삼치회;삼치구이,전남,고흥군,전라남도 고흥군 봉래면 나로도항 부근,,34.464867,127.4536834,위치검증:A,0,없음,0,,고흥군청,,2026-06-18
ST006,녹동장어거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,음식,장어;장어구이;장어탕;붕장어;갯장어,전남,고흥군,전라남도 고흥군 도양읍 비봉로 177,,34.5256702381,127.1357485953,위치검증:A,0,없음,12.0,2017.0,고흥군청,,2026-06-18
ST007,압록 참게·은어거리,섬진강 압록 일대 참게·은어 전문 음식거리,음식,참게;참게매운탕;은어;은어회,전남,곡성군,전라남도 곡성군 오곡면 압록리 섬진강 부근,,35.1964348,127.3735115,위치검증:A+,0,없음,0,,곡성군/전라남도,,2026-06-18
ST008,광양불고기 특화거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,음식,광양불고기;불고기,전남,광양시,전라남도 광양시 서천1길,,34.96947056,127.579099,위치검증:A,0,없음,48.0,2011.0,전라남도 광양시청,,2026-06-18
ST009,화엄 자연밥상 음식거리,화엄사 입구 지리산 식재료 기반 자연밥상 음식거리,음식,산채정식;버섯전골,전남,구례군,전라남도 구례군 마산면 화엄사 상가 부근,,35.2428937,127.4876202,위치검증:A+,0,없음,16.0,2025.0,전라남도,,2026-06-18
ST010,구진포 장어거리,나주 3대 맛거리 중 장어 특화거리,음식,장어;장어구이;장어요리,전남,나주시,전라남도 나주시 다시면 구진포로 58 부근,,35.0064691,126.6723063,위치검증:A+,0,없음,0,,나주시 문화관광,,2026-06-18
ST011,나주곰탕거리,나주 3대 맛거리 중 곰탕 특화거리,음식,나주곰탕;곰탕,전남,나주시,전라남도 나주시 금성관길 8 일원,,35.033273,126.7166164,위치검증:A,0,없음,0,,나주시 문화관광,,2026-06-18
ST012,영산포 홍어거리,나주 3대 맛거리 및 남도음식거리,음식,홍어;숙성홍어;홍어삼합,전남,나주시,전라남도 나주시 영산포로 205-7 일원,,34.9997155,126.7102035,위치검증:A+,0,없음,0,2023.0,나주시/전라남도,,2026-06-18
ST013,담양 국수거리,관방제림 인근 국수 전문점 밀집 거리,음식,국수;멸치국수;비빔국수,전남,담양군,전라남도 담양군 담양읍 객사리 부근,,35.3235969,126.9833537,위치검증:B+,0,없음,0,,담양군 문화관광,,2026-06-18
ST014,죽순푸드빌리지,담양 죽순을 주제로 한 먹거리 권역,음식,죽순;죽순요리,전남,담양군,전라남도 담양군 담양읍 향교길 부근,,35.325,126.9878,위치검증:A,0,없음,0,,담양군 문화관광,,2026-06-18
ST015,창평국밥거리,창평 지역 국밥 전문 음식거리,음식,국밥;창평국밥,전남,담양군,전라남도 담양군 창평면 사동길 12-12 일원,,35.2385168,127.0144031,위치검증:A+,0,없음,0,,전라남도/담양군,,2026-06-18
ST016,민어의 거리,목포 중앙동 민어 전문점 밀집 거리,음식,민어;민어회;민어요리,전남,목포시,전라남도 목포시 대의동2가 3-16 부근,,34.7862652,126.3842897,위치검증:A-,0,없음,0,,목포시 문화관광,,2026-06-18
