시군,관광지명,위치,관광지 지정일,관광지 지정 면적_제곱미터,조성계획 승인일,조성계획 면적(제곱미터),비고
나주시,나주호,남평읍 우산리,2000-03-22,2157600,2003-09-22,2157600,
담양군,담양호,"용면 용연리 월계, 도림리",1977-08-16,22581000,1987-10-05,448803,
곡성군,도림사,"곡성읍 월봉, 구원",1990-02-13,242550,1990-10-10,242550,
구례군,지리산온천,"산동면 관산, 대평, 좌사, 탑정",1989-10-24,1501230,1990-03-10,1501230,
보성군,율포해수욕장,"회천면 동율,율포",1991-03-28,189612,1995-06-01,189612,
보성군,한국차ㆍ소리 문화공원,보성읍 봉산리,2003-05-23,294664,2004-11-03,294664,
화순군,화순온천,"북면 옥리,서유",1984-09-24,358550,1984-12-18,358550,
화순군,도곡온천,"도곡면 천암,원화",1989-10-27,646819,1990-07-31,646819,
화순군,운주사,도암면 용강리,2008-05-15,105495,2008-08-25,105495,
장흥군,정남진 우산도 지구,관산읍 삼산리,2007-07-02,403358,2008-03-07,403358,
강진군,강진 대구도요지,대구면 사당리,1998-08-28,73830,2000-11-16,73830,
해남군,우수영,문내면학동리,1986-01-04,247488,1988-07-27,247488,
해남군,땅끝,송지면 송호리,1986-06-07,665884,1986-08-25,665884,
영암군,영산호,삼호면 나불리,1983-10-11,673392,1983-12-14,673392,
영암군,성기동,군서면 동구림리,1986-06-23,220386,1986-08-25,220386,
영암군,영암 마한문화공원,시종면 옥야리,2003-07-28,182929,2004-01-20,182929,
무안군,무안 회산연꽃방죽,일로읍 복용리,2004-01-06,226870,2006-04-03,226870,
함평군,함평 사포,"학교면 곡창,월호",2010-03-08,288598,2010-03-08,288598,
영광군,불갑사 지구,불갑면 모악리,1999-02-09,254926,2000-01-08,254926,
영광군,백수해안노을,백수읍 대신리,2025-04-03,162092,2025-04-03,162092,
완도군,완도 신지 명사십리,신지면 신리,2007-11-10,677023,2008-07-31,677023,
완도군,완도 해신 장보고지구,완도읍 대신리,2007-10-12,246682,2008-11-14,246682,
장성군,장성호,북하면 쌍웅리,1977-08-16,250595,1983-02-17,250595,
장성군,장성 홍길동테마파크,황룡면 아곡리,2004-05-27,275763,2005-02-15,275763,
진도군,진도 회동,고군면 금계리,1987-10-15,296920,1987-11-07,296920,
진도군,진도 녹진,군내면 녹진리,1988-12-16,251469,1988-12-19,251469,
진도군,진도 아리랑마을,임회면 상만리,2005-09-28,298880,2006-11-08,298880,
신안군,대광해수욕장,"임자면 대기,광산",1990-09-21,1500000,1990-09-21,293800,
광양시,광양 구봉산,광양 황금동,2025-10-01,2072623,2025-10-01,2072623,관광단지
여수시,여수 무술목,여수 돌산읍,2025-11-10,1193190,2025-11-10,1193190,관광단지
여수시,경도해양,여수 경호 경도,2009-12-31,2152973,2009-12-31,2152973,관광단지
여수시,여수화양,여수 화양 장수리,2003-10-30,9989691,2006-05-04,6434744,관광단지
여수시,여수챌린지파크,여수 화양 나진리,2019-05-17,510424,2019-05-17,510424,관광단지
해남군,해남오시아노,해남 화원 주광리,1992-09-19,5073425,1994-06-14,5073425,관광단지
진도군,진도대명리조트,진도 의신 초사리,2016-12-21,559089,2016-12-21,559083,관광단지
