관광지ID,관심지점명,구분,연령대,비율
82c0ceda34805798046575d1a7bd4679,죽녹원,관광명소,전체,8.6
4274fb429264b315dc700557d4064bd1,화엄사,종교,전체,6
00e2dd3fde5a558d5b6a301a50a0d6b0,오동도,관광명소,전체,5.6
453e898a827ab187be14b807065d096b,향일암,종교,전체,5.5
e66964b9e7e6f339c9633f5e676f2e89,아쿠아플라넷여수,관광명소,전체,5.2
b9366bbc23eecf6e74ec932d3368fd1b,백양사,종교,전체,5
3122a30a3f2e84b97115a0d4f46a2ceb,녹동항,교통시설,전체,4.2
08a1915bcbe023d469af420f4aeda371,담양관방제림,관광명소,전체,3.6
6a2da3911fb68aea2ddbe51d634e5a59,낙안읍성민속마을,관광명소,전체,3.6
c80ea471e47bbbd551543ca8c0e102ea,선암사,종교,전체,3.4
dd430570e1328d6ea2cba29360dac0db,여수예술랜드,여행/레저기타,전체,3.4
9805266057978dcc2cc79192157800a3,해피니스CC,레저/스포츠,전체,3.3
766bcdc0dcd95ee1442274f3874d9654,메타프로방스,관광명소,전체,3.3
a4c996da9de1525d2ecccfb25ba10676,송광사,종교,전체,3
b7b3e8889910e7d0050d46740ae2cc25,광양매화축제,관광명소,전체,2.9
dd2579cec69d02841e36be84b3822f2e,유월드루지테마파크,레저/스포츠,전체,2.8
bcb18702d8442c3693b605439c28634b,율포해수욕장,관광명소,전체,2.8
21b452141d91ebbd2774644b136a494f,만성리검은모래해변,관광명소,전체,2.7
e859184bf87211023b0bc82fed4f4fcc,사성암,종교,전체,2.6
5a549d766e737400da14db59c8d79636,골드레이크CC,레저/스포츠,전체,2.2
291c684974192eceb53110cdb6d18cb9,불갑사,종교,전체,2.2
6002056b4dffe8698337e7f70287aba3,푸른솔GC,레저/스포츠,전체,2.2
8d7f5b045320e4a751a45caf95d11bd7,무등산CC,레저/스포츠,전체,2.1
b55aff824f49192f3649d4a43c6b8d17,대흥사,종교,전체,2
514ec4de5f9bc37af83f03a16717e29d,진남관,관광명소,전체,2
cfedef519e6532c0d5c4979af786abc0,파인비치골프링크스,레저/스포츠,전체,1.9
7ab0afee6c265ec9f4a5f766fd774242,돌머리해변,관광명소,전체,1.9
89db432d45f13a3ac93760a696008713,진도항,교통시설,전체,1.8
b4f3f012d50f1aa9a2b50df2b07be2bf,땅끝전망대,관광명소,전체,1.8
20364b4dc88cfbfa4baadf8dfbae0762,국립아시아문화전당,문화생활시설,전체,13.7
f1d37874900abfee023f6e704c5a3936,김대중컨벤션센터,문화생활시설,전체,13.2
f9bfe93be75639765a676c31c24c1db2,광주기아챔피언스필드,레저/스포츠,전체,9.3
ba5e59314f56041400048c1d319143bb,국립광주과학관,문화생활시설,전체,5.3
1c72959b6423700f328a13f709ccec60,광주패밀리랜드,레저/스포츠,전체,4.8
66b92f7d7321bc863f9e2410071d3fb8,상무시민공원,관광명소,전체,3.2
438c89b32ce433779f84a98b2305b41c,어등산CC,레저/스포츠,전체,2.9
48e8d2654836349d1600fdb8c1eac504,광주월드컵경기장,레저/스포츠,전체,2.5
b02c7061e589df869f9e97e3ea981f8b,쌍암공원,관광명소,전체,2.4
999ed15f367ca11c2762ef3dc6cf7e6a,국립광주박물관,문화생활시설,전체,2.2
c99d2171d5f78c3488b4b099d60d0e47,광주호호수생태원,관광명소,전체,1.9
13721622e3398c1f3c2583f0aa52174d,증심사,종교,전체,1.7
009e9efecbf408695cc37b33cdff218b,518기념문화센터,문화생활시설,전체,1.6
c445fcb676d76b877e1b5d26770b4524,운천저수지,관광명소,전체,1.6
bd5a6ac449278720e172fee57bd79773,우치공원동물원,관광명소,전체,1.5
ba4eeef3f213b9dd656096fd450f6461,퐁퐁플라워광주빛고을센터,레저/스포츠,전체,1.5
58606a6b359192691ef6683c37d2285b,무각사,종교,전체,1.5
77e52aacafca85b230d9e84d4393474f,빛고을CC,레저/스포츠,전체,1.5
c2b7e55b4439ccd41e340b836a378654,전일빌딩245,문화생활시설,전체,1.4
9ef588439bbcc936dd4125b79fdd50d5,광주비엔날레전시관,문화생활시설,전체,1.4
